Auth,Date,lnk1,lnk2,lnk3,lnk4,lnk5,lnk6,lnk7,lnk8,lnk9,lnk10,lnk11,lnk12,lnk13
,,,,,,,,,,,,,,
[RO] Raygore,2/12/2020 11:00,,,,,,,,,,,,,
Blacknium,2/12/2020 11:04,https://cdn.discordapp.com/attachments/677197132968755207/677198291586252919/Screenshot_20200212-180159_Video_Player.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677198291900956672/Screenshot_20200212-180205_Video_Player.jpg,,,,,,,,,,,
ripnav,2/12/2020 11:56,https://cdn.discordapp.com/attachments/677197132968755207/677211437843611667/Screenshot_20200212_205532_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677211438137344000/Screenshot_20200212_205544_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Nelson,2/12/2020 11:58,https://cdn.discordapp.com/attachments/677197132968755207/677211904195690496/Screenshot_20200212_185736_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677211904602800160/Screenshot_20200212_185748_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Oldalas,2/12/2020 15:24,https://cdn.discordapp.com/attachments/677197132968755207/677263825451352086/Screenshot_20200212-222120_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677263825828970534/Screenshot_20200212-222131_Grim_Soul.jpg,,,,,,,,,,,
Ezekiel Linhares,2/12/2020 15:51,https://cdn.discordapp.com/attachments/677197132968755207/677270524082126862/IMG-20200212-WA0022.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677270524455550976/IMG-20200212-WA0023.jpg,,,,,,,,,,,
Frank_Santos,2/12/2020 16:09,https://cdn.discordapp.com/attachments/677197132968755207/677275022372634634/Screenshot_20200212-190037.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677275022787608606/Screenshot_20200212-190051.jpg,,,,,,,,,,,
Henrique,2/12/2020 17:34,https://cdn.discordapp.com/attachments/677197132968755207/677296557015564299/20200212_203517.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677296610648260636/20200212_203505.jpg,,,,,,,,,,,
Silver Ves Aka Zilver,2/12/2020 17:44,https://cdn.discordapp.com/attachments/677197132968755207/677298960851009552/Screenshot_20200213_014250_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677298961186291719/Screenshot_20200213_014301_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Arc,2/12/2020 18:06,https://cdn.discordapp.com/attachments/677197132968755207/677304576818413588/Screenshot_20200212-210307.png,https://cdn.discordapp.com/attachments/677197132968755207/677304634116669440/Screenshot_20200212-210321.png,,,,,,,,,,,
Henrique,2/12/2020 18:16,https://cdn.discordapp.com/attachments/677197132968755207/677307165354229784/20200212_211811.jpg,,,,,,,,,,,,
Grim Haxxxxx [PT-BR],2/12/2020 18:40,https://cdn.discordapp.com/attachments/677197132968755207/677313100017565717/Screenshot_20200213-002221_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677313100365430824/Screenshot_20200213-002248_Grim_Soul.jpg,,,,,,,,,,,
Serginho,2/12/2020 20:03,https://cdn.discordapp.com/attachments/677197132968755207/677334019129606185/Screenshot_20200212-230043_YouTube.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677334019611820042/Screenshot_20200212-230240_YouTube.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677334386265292800/VideoCapture_20200212-225719.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677334386454167582/Screenshot_20200212-225731_Video_Player.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677334581783035917/Screenshot_20200212-225814_Video_Player.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677334582198009866/Screenshot_20200212-225824_Video_Player.jpg,,,,,,,
WhiteDemon02&#127477;&#127466;,2/12/2020 23:13,https://cdn.discordapp.com/attachments/677197132968755207/677381783918084106/Screenshot_2020-02-12-23-45-13-920_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677381784589041694/Screenshot_2020-02-12-23-45-43-730_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Introvert,2/13/2020 0:54,https://cdn.discordapp.com/attachments/677197132968755207/677407178599956510/Screenshot_20200213-075254.png,https://cdn.discordapp.com/attachments/677197132968755207/677407178923180032/Screenshot_20200213-075309.png,,,,,,,,,,,
pelbake,2/13/2020 0:54,https://cdn.discordapp.com/attachments/677197132968755207/677407254525378580/Screenshot_20200213-085308_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677407254827499530/Screenshot_20200213-085317_Grim_Soul.jpg,,,,,,,,,,,
HENTAICOMBO,2/13/2020 3:42,https://cdn.discordapp.com/attachments/677197132968755207/677449382592774165/Screenshot_20200213-163715_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677449382882312227/Screenshot_20200213-163726_Grim_Soul.jpg,,,,,,,,,,,
ripnav,2/13/2020 4:37,https://cdn.discordapp.com/attachments/677197132968755207/677463395926016021/Screenshot_20200213_133557_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677463396299440128/Screenshot_20200213_133605_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Serginho,2/13/2020 5:04,https://cdn.discordapp.com/attachments/677197132968755207/677470242582036510/Screenshot_20200213-080356_Video_Player.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677470242922037258/Screenshot_20200213-080403_Video_Player.jpg,,,,,,,,,,,
Oldalas,2/13/2020 5:20,https://cdn.discordapp.com/attachments/677197132968755207/677474264961646613/Screenshot_20200213-114246_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677474265561563166/Screenshot_20200213-114257_Grim_Soul.jpg,,,,,,,,,,,
[RUS] Cooldor,2/13/2020 8:49,https://cdn.discordapp.com/attachments/677197132968755207/677526746249166879/image0.png,https://cdn.discordapp.com/attachments/677197132968755207/677526747293417482/image1.png,,,,,,,,,,,
Skyhikes,2/13/2020 9:51,https://cdn.discordapp.com/attachments/677197132968755207/677542259582959636/Capture_2020-02-13-16-49-00.png,https://cdn.discordapp.com/attachments/677197132968755207/677542260027424799/Capture_2020-02-13-16-49-25.png,,,,,,,,,,,
Hauptmann Herold,2/13/2020 10:00,https://cdn.discordapp.com/attachments/677197132968755207/677544660448575491/QuickMemo_2020-02-13-16-01-41.png,https://cdn.discordapp.com/attachments/677197132968755207/677544661174321180/QuickMemo_2020-02-13-16-01-55.png,,,,,,,,,,,
Glitch,2/13/2020 10:07,https://cdn.discordapp.com/attachments/677197132968755207/677546353840095252/Screenshot_2020-02-13-21-34-29-646_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677546354171576351/Screenshot_2020-02-13-21-36-34-287_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
nestea1996,2/13/2020 10:14,https://cdn.discordapp.com/attachments/677197132968755207/677548180312686619/Screenshot_20200213-181210.png,https://cdn.discordapp.com/attachments/677197132968755207/677548180711407616/Screenshot_20200213-181230.png,,,,,,,,,,,
Deleted User,2/13/2020 10:15,https://cdn.discordapp.com/attachments/677197132968755207/677548294880362496/image0.png,https://cdn.discordapp.com/attachments/677197132968755207/677548311481286656/image0.png,,,,,,,,,,,
zak,2/13/2020 10:23,https://cdn.discordapp.com/attachments/677197132968755207/677550520533254144/Screenshot_20200213-132226_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677550520965005333/Screenshot_20200213-132249_Grim_Soul.jpg,,,,,,,,,,,
Henrique,2/13/2020 11:24,https://cdn.discordapp.com/attachments/677197132968755207/677565844901068800/20200213_142609.jpg,,,,,,,,,,,,
Frank_Santos,2/13/2020 11:33,https://cdn.discordapp.com/attachments/677197132968755207/677568100056563733/Screenshot_20200213-142928.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677568100454891571/Screenshot_20200213-142914.jpg,,,,,,,,,,,
alemoto00,2/13/2020 12:02,https://cdn.discordapp.com/attachments/677197132968755207/677575440143220761/Screenshot_20200213_185905_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677575467699535872/Screenshot_20200213_185915_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
Serginho,2/13/2020 12:20,https://cdn.discordapp.com/attachments/677197132968755207/677579791582625842/Screenshot_20200213-151805_Grim_Soul.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677579792010182725/Screenshot_20200213-151831_Grim_Soul.jpg,,,,,,,,,,,
HunteR,2/13/2020 13:16,,,,,,,,,,,,,
Sr. [PT-BR],2/13/2020 13:38,https://cdn.discordapp.com/attachments/677197132968755207/677599498460987392/IMG_20200213_163651.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677599498771496960/IMG_20200213_163744.jpg,,,,,,,,,,,
Nelson,2/13/2020 13:55,https://cdn.discordapp.com/attachments/677197132968755207/677603685060051005/Screenshot_20200213_205402_fantasy.survival.game.rpg.jpg,https://cdn.discordapp.com/attachments/677197132968755207/677603685446189105/Screenshot_20200213_205418_fantasy.survival.game.rpg.jpg,,,,,,,,,,,
